n t x y v.x v.y a.x a.y
0 0 10.5 2 0.5 2 0.859815 0.163774
1 1 10.5701 3.91811 0.0700925 1.91811 0.737855 0.273507
2 2 10.2713 5.69947 -0.298835 1.78136 0.633704 0.351639
3 3 9.65557 7.30501 -0.615687 1.60554 0.54401 0.411576
4 4 8.76788 8.70476 -0.887692 1.39975 0.464895 0.461549
5 5 7.64774 9.87374 -1.12014 1.16898 0.392586 0.506855
6 6 6.33131 10.7893 -1.31643 0.915549 0.323404 0.551119
7 7 4.85317 11.4293 -1.47814 0.63999 0.253499 0.596994
8 8 3.24829 11.7708 -1.60488 0.341493 0.178413 0.646514
9 9 1.55419 11.789 -1.69409 0.0182362 0.0924376 0.701165
10 10 -0.186115 11.4567 -1.74031 -0.332346 -0.0123719 0.761574
11 11 -1.92024 10.7435 -1.73412 -0.713133 -0.147717 0.826458
12 12 -3.58051 9.61717 -1.66027 -1.12636 -0.331315 0.889904
13 13 -5.07511 8.04585 -1.49461 -1.57131 -0.589558 0.934659
14 14 -6.27494 6.00721 -1.19983 -2.03864 -0.957242 0.916399
15 15 -6.99615 3.51037 -0.721208 -2.49684 -1.45881 0.73197
16 16 -6.98795 0.647537 0.00819887 -2.86283 -2.02176 0.187346
17 17 -5.96887 -2.30896 1.01908 -2.9565 -2.27705 -0.88084
18 18 -3.81127 -4.82505 2.1576 -2.51608 -1.63951 -2.07561
19 19 -0.83391 -6.30332 2.97736 -1.47828 -0.32442 -2.45221
20 20 2.30566 -6.55549 3.13957 -0.25217 0.687072 -1.95349
21 21 5.10169 -5.83091 2.79603 0.724577 1.09697 -1.25377
22 22 7.34924 -4.47945 2.24755 1.35146 1.15271 -0.702589
23 23 9.02043 -2.77669 1.67119 1.70276 1.07293 -0.330271
24 24 10.1552 -0.9088 1.13473 1.86789 0.958142 -0.0857455
25 25 10.8108 1.00197 0.655658 1.91077 0.844716 0.0782899
26 26 11.0441 2.87359 0.2333 1.87162 0.743129 0.193356
27 27 10.9059 4.64853 -0.138264 1.77494 0.65453 0.278988
28 28 10.4403 6.28398 -0.465529 1.63545 0.576997 0.347292
29 29 9.6863 7.74578 -0.754028 1.4618 0.507729 0.406013
30 30 8.67841 9.00458 -1.00789 1.2588 0.443707 0.460384
31 31 7.44866 10.0332 -1.22975 1.02861 0.381747 0.514206
32 32 6.02804 10.8047 -1.42062 0.771502 0.318277 0.57048
33 33 4.44828 11.291 -1.57976 0.486262 0.248891 0.631752
34 34 2.74408 11.4613 -1.7042 0.170386 0.167641 0.700194
35 35 0.956054 11.2816 -1.78802 -0.179711 0.0658728 0.777311
36 36 -0.864906 10.7133 -1.82096 -0.568367 -0.0696582 0.862829
37 37 -2.65104 9.71348 -1.78613 -0.999781 -0.259711 0.951587
38 38 -4.30731 8.2379 -1.65628 -1.47558 -0.536186 1.02548
39 39 -5.6955 6.24959 -1.38818 -1.98831 -0.942125 1.03378
40 40 -6.61262 3.74438 -0.91712 -2.5052 -1.50688 0.853267
41 41 -6.7763 0.812547 -0.163681 -2.93184 -2.13165 0.255606
42 42 -5.87416 -2.24709 0.902142 -3.05964 -2.36125 -0.903269
43 43 -3.79139 -4.8551 2.08276 -2.60801 -1.62195 -2.07701
44 44 -0.897649 -6.4246 2.89374 -1.5695 -0.328831 -2.35349
45 45 2.16051 -6.81736 3.05816 -0.392756 0.590693 -1.8639
46 46 4.92332 -6.27816 2.76281 0.539193 0.969427 -1.2362
47 47 7.20142 -5.12087 2.2781 1.15729 1.0437 -0.742169
48 48 8.95766 -3.59249 1.75625 1.52838 0.996438 -0.399624
